,label,run,error,rho,time
0,PLAN(oracle)-clipped,0,0.0351523352579393,0.0625,7.469872713088989
1,PLAN(oracle)-unclipped,0,0.029175870926779333,0.0625,7.469872713088989
2,PLAN(paper)-clipped,0,0.051256689425978226,0.0625,6.903693675994873
3,PLAN(paper)-unclipped,0,0.04613221694283019,0.0625,6.903693675994873
4,PLAN(noscale)-clipped,0,0.055057818457550825,0.0625,6.659475803375244
5,PLAN(noscale)-unclipped,0,0.05307640397980738,0.0625,6.659475803375244
6,PLAN(oracle)-clipped,1,0.033268345100495075,0.0625,6.730914115905762
7,PLAN(oracle)-unclipped,1,0.03006674029438501,0.0625,6.730914115905762
8,PLAN(paper)-clipped,1,0.052363846458127625,0.0625,7.319762706756592
9,PLAN(paper)-unclipped,1,0.04953333241358696,0.0625,7.319762706756592
10,PLAN(noscale)-clipped,1,0.053187341388042486,0.0625,8.2243971824646
11,PLAN(noscale)-unclipped,1,0.050846121341225084,0.0625,8.2243971824646
12,PLAN(oracle)-clipped,2,0.0334617789524857,0.0625,6.601446628570557
13,PLAN(oracle)-unclipped,2,0.028743877153781787,0.0625,6.601446628570557
14,PLAN(paper)-clipped,2,0.051912006304467385,0.0625,6.730992317199707
15,PLAN(paper)-unclipped,2,0.047016980066641886,0.0625,6.730992317199707
16,PLAN(noscale)-clipped,2,0.054377356661635234,0.0625,7.004690647125244
17,PLAN(noscale)-unclipped,2,0.05191796467497936,0.0625,7.004690647125244
18,PLAN(oracle)-clipped,3,0.03586371739409576,0.0625,6.665269613265991
19,PLAN(oracle)-unclipped,3,0.028774069449641452,0.0625,6.665269613265991
20,PLAN(paper)-clipped,3,0.053703180252702556,0.0625,6.940546751022339
21,PLAN(paper)-unclipped,3,0.04822563563768403,0.0625,6.940546751022339
22,PLAN(noscale)-clipped,3,0.05434850851158776,0.0625,6.9595630168914795
23,PLAN(noscale)-unclipped,3,0.051679934004610475,0.0625,6.9595630168914795
24,PLAN(oracle)-clipped,4,0.03371707501898945,0.0625,6.989203691482544
25,PLAN(oracle)-unclipped,4,0.03129304360661525,0.0625,6.989203691482544
26,PLAN(paper)-clipped,4,0.05211263513861614,0.0625,7.96085524559021
27,PLAN(paper)-unclipped,4,0.048868134530769304,0.0625,7.96085524559021
28,PLAN(noscale)-clipped,4,0.05325409879280471,0.0625,6.925580263137817
29,PLAN(noscale)-unclipped,4,0.051494349900521666,0.0625,6.925580263137817
30,PLAN(oracle)-clipped,5,0.03353835579031547,0.0625,6.896542549133301
31,PLAN(oracle)-unclipped,5,0.030852876994585048,0.0625,6.896542549133301
32,PLAN(paper)-clipped,5,0.05099540981077285,0.0625,6.875069618225098
33,PLAN(paper)-unclipped,5,0.044615719723339255,0.0625,6.875069618225098
34,PLAN(noscale)-clipped,5,0.05490672207123313,0.0625,6.977223634719849
35,PLAN(noscale)-unclipped,5,0.05180821674686242,0.0625,6.977223634719849
36,PLAN(oracle)-clipped,6,0.03453637181077038,0.0625,6.637335300445557
37,PLAN(oracle)-unclipped,6,0.027551847105434183,0.0625,6.637335300445557
38,PLAN(paper)-clipped,6,0.05199951947270781,0.0625,6.8272058963775635
39,PLAN(paper)-unclipped,6,0.0491918031171651,0.0625,6.8272058963775635
40,PLAN(noscale)-clipped,6,0.05263039527412271,0.0625,6.890686750411987
41,PLAN(noscale)-unclipped,6,0.04951460572499167,0.0625,6.890686750411987
42,PLAN(oracle)-clipped,7,0.034942781636753725,0.0625,8.389057159423828
43,PLAN(oracle)-unclipped,7,0.028529190797357627,0.0625,8.389057159423828
44,PLAN(paper)-clipped,7,0.052083540309796075,0.0625,6.981234788894653
45,PLAN(paper)-unclipped,7,0.04834168415532378,0.0625,6.981234788894653
46,PLAN(noscale)-clipped,7,0.05285415303200533,0.0625,6.696922779083252
47,PLAN(noscale)-unclipped,7,0.04974393883870219,0.0625,6.696922779083252
48,PLAN(oracle)-clipped,8,0.0332145388971971,0.0625,6.895512819290161
49,PLAN(oracle)-unclipped,8,0.030248488608366757,0.0625,6.895512819290161
50,PLAN(paper)-clipped,8,0.05158758901731264,0.0625,8.081120014190674
51,PLAN(paper)-unclipped,8,0.04880483808895999,0.0625,8.081120014190674
52,PLAN(noscale)-clipped,8,0.05435868793123803,0.0625,7.019253253936768
53,PLAN(noscale)-unclipped,8,0.05164219478255424,0.0625,7.019253253936768
54,PLAN(oracle)-clipped,9,0.033152424607368704,0.0625,7.00219464302063
55,PLAN(oracle)-unclipped,9,0.02899215737382342,0.0625,7.00219464302063
56,PLAN(paper)-clipped,9,0.0501339589777536,0.0625,6.669251203536987
57,PLAN(paper)-unclipped,9,0.04574438348107089,0.0625,6.669251203536987
58,PLAN(noscale)-clipped,9,0.05592454694867828,0.0625,6.804821968078613
59,PLAN(noscale)-unclipped,9,0.05078228820194183,0.0625,6.804821968078613
60,PLAN(oracle)-clipped,10,0.03421554753221669,0.0625,6.839442491531372
61,PLAN(oracle)-unclipped,10,0.031162485971215372,0.0625,6.839442491531372
62,PLAN(paper)-clipped,10,0.05113232908895338,0.0625,6.977159261703491
63,PLAN(paper)-unclipped,10,0.04771613577588897,0.0625,6.977159261703491
64,PLAN(noscale)-clipped,10,0.053771097106187965,0.0625,7.176678419113159
65,PLAN(noscale)-unclipped,10,0.04891489259008832,0.0625,7.176678419113159
66,PLAN(oracle)-clipped,11,0.033264526057556,0.0625,7.90384840965271
67,PLAN(oracle)-unclipped,11,0.02883015168575084,0.0625,7.90384840965271
68,PLAN(paper)-clipped,11,0.051149184765127774,0.0625,6.913457632064819
69,PLAN(paper)-unclipped,11,0.048929677461260396,0.0625,6.913457632064819
70,PLAN(noscale)-clipped,11,0.05294310091054709,0.0625,6.869431495666504
71,PLAN(noscale)-unclipped,11,0.04970401071579977,0.0625,6.869431495666504
72,PLAN(oracle)-clipped,12,0.034170410761763394,0.0625,6.825678586959839
73,PLAN(oracle)-unclipped,12,0.02895159067662264,0.0625,6.825678586959839
74,PLAN(paper)-clipped,12,0.050434241832289534,0.0625,6.995481014251709
75,PLAN(paper)-unclipped,12,0.04697359347700957,0.0625,6.995481014251709
76,PLAN(noscale)-clipped,12,0.05566866769827773,0.0625,7.061556577682495
77,PLAN(noscale)-unclipped,12,0.05145665998841932,0.0625,7.061556577682495
78,PLAN(oracle)-clipped,13,0.03327184939370441,0.0625,6.718096971511841
79,PLAN(oracle)-unclipped,13,0.03020377659085227,0.0625,6.718096971511841
80,PLAN(paper)-clipped,13,0.052647519831998536,0.0625,7.049424409866333
81,PLAN(paper)-unclipped,13,0.04947199977676876,0.0625,7.049424409866333
82,PLAN(noscale)-clipped,13,0.052486171381707955,0.0625,6.763315439224243
83,PLAN(noscale)-unclipped,13,0.050125197425255404,0.0625,6.763315439224243
84,PLAN(oracle)-clipped,14,0.03295142206232166,0.0625,6.639813423156738
85,PLAN(oracle)-unclipped,14,0.029454733505491486,0.0625,6.639813423156738
86,PLAN(paper)-clipped,14,0.052977030236076694,0.0625,7.117662668228149
87,PLAN(paper)-unclipped,14,0.04878414742096233,0.0625,7.117662668228149
88,PLAN(noscale)-clipped,14,0.05530275649297922,0.0625,6.596952438354492
89,PLAN(noscale)-unclipped,14,0.052281339426101775,0.0625,6.596952438354492
90,PLAN(oracle)-clipped,15,0.03404927706169387,0.0625,7.261293888092041
91,PLAN(oracle)-unclipped,15,0.03041955935403973,0.0625,7.261293888092041
92,PLAN(paper)-clipped,15,0.05240967420624878,0.0625,6.803777456283569
93,PLAN(paper)-unclipped,15,0.04899050209833435,0.0625,6.803777456283569
94,PLAN(noscale)-clipped,15,0.05528157262128237,0.0625,6.576385021209717
95,PLAN(noscale)-unclipped,15,0.04973865941320181,0.0625,6.576385021209717
96,PLAN(oracle)-clipped,16,0.033269986630509216,0.0625,6.693370819091797
97,PLAN(oracle)-unclipped,16,0.03018078200473965,0.0625,6.693370819091797
98,PLAN(paper)-clipped,16,0.052052197708664615,0.0625,8.33706784248352
99,PLAN(paper)-unclipped,16,0.046987331156575475,0.0625,8.33706784248352
100,PLAN(noscale)-clipped,16,0.05248226647032517,0.0625,6.901322603225708
101,PLAN(noscale)-unclipped,16,0.050343304535224134,0.0625,6.901322603225708
102,PLAN(oracle)-clipped,17,0.03334724964447815,0.0625,7.116052627563477
103,PLAN(oracle)-unclipped,17,0.029758215890979784,0.0625,7.116052627563477
104,PLAN(paper)-clipped,17,0.051270164370253446,0.0625,6.760752439498901
105,PLAN(paper)-unclipped,17,0.04887841094600401,0.0625,6.760752439498901
106,PLAN(noscale)-clipped,17,0.053715357810805574,0.0625,7.041673421859741
107,PLAN(noscale)-unclipped,17,0.05040354581439145,0.0625,7.041673421859741
108,PLAN(oracle)-clipped,18,0.03336191091545118,0.0625,6.745480060577393
109,PLAN(oracle)-unclipped,18,0.0312467193438146,0.0625,6.745480060577393
110,PLAN(paper)-clipped,18,0.05276252367301237,0.0625,6.664472579956055
111,PLAN(paper)-unclipped,18,0.04832719968659066,0.0625,6.664472579956055
112,PLAN(noscale)-clipped,18,0.052332012042494776,0.0625,7.091389179229736
113,PLAN(noscale)-unclipped,18,0.04772705765819525,0.0625,7.091389179229736
114,PLAN(oracle)-clipped,19,0.03379904414077353,0.0625,6.6201043128967285
115,PLAN(oracle)-unclipped,19,0.03123614854186586,0.0625,6.6201043128967285
116,PLAN(paper)-clipped,19,0.05265342744745831,0.0625,7.068566083908081
