,Algorithm,u,n,d,rho,mean,cov,r,run,error
0,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,0,0.06921833377307993
1,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,0,0.08056920742754314
2,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,0,0.16447016781075277
3,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,0,0.0623968184304836
4,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,1,0.05827482508491375
5,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,1,0.06638622712934808
6,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,1,0.06024031418797158
7,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,1,0.051986397992488324
8,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,2,0.0739626473040632
9,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,2,0.09879978054670514
10,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,2,0.06269867789324286
11,Empirical mean (non-private),"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,2,0.06730890007284396
12,PLAN-E-ULTIMATE++,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,3,0.06762867462856234
13,PLAN-NOSCALE,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,3,0.06347401364124257
14,Instance optimal,"(-100.0, 100.0)",4000,16,0.125,0,STRATEGY_UNIFORM,0,3,0.06948275050325728
