,Algorithm,u,n,d,rho,mean,cov,r,run,error
0,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,0,0.23253143713379043
1,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,0,0.3198830435519887
2,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,0,0.2772348275248853
3,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,0,0.2676584974368245
4,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,1,0.15567146830611056
5,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,1,0.22794040267746316
6,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,1,0.1697706109759893
7,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,1,0.14543971483961132
8,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,2,0.15072468763501157
9,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,2,0.18249027183865457
10,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,2,0.15062127375689832
11,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,2,0.12909562362768354
12,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,3,0.14222874820148987
13,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,3,0.24523646362305784
14,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,3,0.18414853033324835
15,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,3,0.15065648028930928
16,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,4,0.17648312301490923
17,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,4,0.25506967623828364
18,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,4,0.1652737575513424
19,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,4,0.1517013693936347
20,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,5,0.21376334489220453
21,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,5,0.3472367264411414
22,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,5,0.23669923371512666
23,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,5,0.20979819678591
24,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,6,0.22306833307994517
25,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,6,0.16413583966032136
26,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,6,0.25305520321907654
27,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,6,0.22878187041626122
28,PLAN,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,7,0.3302341042160308
29,PLAN-NOSCALE,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,7,0.40137299762056566
30,Instance optimal,"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,7,0.2898184090915658
31,Empirical mean (non-private),"(-3200.0, 3200.0)",10000,16,0.125,10,STRATEGY_ZIPF_SKEWED,2,7,0.318606215784857
