,label,run,error,rho,time
0,PLAN(oracle)-clipped,0,6.51552546408297,0.0625,8.056491374969482
1,PLAN(oracle)-unclipped,0,5.737454559873333,0.0625,8.056491374969482
2,PLAN(paper)-clipped,0,10.932226052061933,0.0625,8.03409719467163
3,PLAN(paper)-unclipped,0,10.306633371467633,0.0625,8.03409719467163
4,PLAN(noscale)-clipped,0,12.37962634045512,0.0625,7.9931652545928955
5,PLAN(noscale)-unclipped,0,11.982074638412866,0.0625,7.9931652545928955
6,PLAN(oracle)-clipped,1,6.780817613877185,0.0625,7.901645660400391
7,PLAN(oracle)-unclipped,1,6.24668460838972,0.0625,7.901645660400391
8,PLAN(paper)-clipped,1,11.450808200055652,0.0625,8.136286497116089
9,PLAN(paper)-unclipped,1,11.00765537899926,0.0625,8.136286497116089
10,PLAN(noscale)-clipped,1,11.863095881689432,0.0625,7.686884164810181
11,PLAN(noscale)-unclipped,1,11.244296182691183,0.0625,7.686884164810181
12,PLAN(oracle)-clipped,2,6.681531940112825,0.0625,7.840942859649658
13,PLAN(oracle)-unclipped,2,6.062324312272447,0.0625,7.840942859649658
14,PLAN(paper)-clipped,2,10.669194794227177,0.0625,7.905425310134888
15,PLAN(paper)-unclipped,2,9.928753501196544,0.0625,7.905425310134888
16,PLAN(noscale)-clipped,2,11.646442350222772,0.0625,7.705919504165649
17,PLAN(noscale)-unclipped,2,11.005157363059904,0.0625,7.705919504165649
18,PLAN(oracle)-clipped,3,6.8002488772949405,0.0625,7.577877521514893
19,PLAN(oracle)-unclipped,3,6.230052330291045,0.0625,7.577877521514893
20,PLAN(paper)-clipped,3,14.267330141742228,0.0625,7.88440728187561
21,PLAN(paper)-unclipped,3,14.169171083667539,0.0625,7.88440728187561
22,PLAN(noscale)-clipped,3,11.50659741153839,0.0625,7.747294664382935
23,PLAN(noscale)-unclipped,3,10.672328144180636,0.0625,7.747294664382935
24,PLAN(oracle)-clipped,4,8.431522323504673,0.0625,7.604043960571289
25,PLAN(oracle)-unclipped,4,8.293104725567813,0.0625,7.604043960571289
26,PLAN(paper)-clipped,4,10.465664510015307,0.0625,7.782666206359863
27,PLAN(paper)-unclipped,4,9.538794121220615,0.0625,7.782666206359863
28,PLAN(noscale)-clipped,4,11.91751200325797,0.0625,7.5727784633636475
29,PLAN(noscale)-unclipped,4,11.336598873803805,0.0625,7.5727784633636475
30,PLAN(oracle)-clipped,5,6.516567411700941,0.0625,7.677485942840576
31,PLAN(oracle)-unclipped,5,5.894706443201173,0.0625,7.677485942840576
32,PLAN(paper)-clipped,5,11.162274693099489,0.0625,7.930161952972412
33,PLAN(paper)-unclipped,5,10.640237557934224,0.0625,7.930161952972412
34,PLAN(noscale)-clipped,5,11.91739855184365,0.0625,7.675519704818726
35,PLAN(noscale)-unclipped,5,11.358882920454874,0.0625,7.675519704818726
36,PLAN(oracle)-clipped,6,6.593006237229377,0.0625,7.6476969718933105
37,PLAN(oracle)-unclipped,6,5.897457516207274,0.0625,7.6476969718933105
38,PLAN(paper)-clipped,6,12.10279545165635,0.0625,7.754805088043213
39,PLAN(paper)-unclipped,6,11.81299327197787,0.0625,7.754805088043213
40,PLAN(noscale)-clipped,6,14.22190403777787,0.0625,7.663562297821045
41,PLAN(noscale)-unclipped,6,14.057421809923671,0.0625,7.663562297821045
42,PLAN(oracle)-clipped,7,6.859283460266163,0.0625,7.73682713508606
43,PLAN(oracle)-unclipped,7,6.346303390486951,0.0625,7.73682713508606
44,PLAN(paper)-clipped,7,10.223874547127677,0.0625,7.6419618129730225
45,PLAN(paper)-unclipped,7,9.006630776983627,0.0625,7.6419618129730225
46,PLAN(noscale)-clipped,7,12.273248459319198,0.0625,7.66450834274292
47,PLAN(noscale)-unclipped,7,11.84905710470723,0.0625,7.66450834274292
48,PLAN(oracle)-clipped,8,6.443627510502865,0.0625,7.794244766235352
49,PLAN(oracle)-unclipped,8,5.535363617351619,0.0625,7.794244766235352
50,PLAN(paper)-clipped,8,11.626763332760396,0.0625,7.836541414260864
51,PLAN(paper)-unclipped,8,11.199328215002076,0.0625,7.836541414260864
52,PLAN(noscale)-clipped,8,11.748204942211881,0.0625,7.64579176902771
53,PLAN(noscale)-unclipped,8,11.154927371416912,0.0625,7.64579176902771
54,PLAN(oracle)-clipped,9,6.916415399223291,0.0625,7.643177270889282
55,PLAN(oracle)-unclipped,9,6.409246191954394,0.0625,7.643177270889282
56,PLAN(paper)-clipped,9,12.087105446640448,0.0625,7.66768479347229
57,PLAN(paper)-unclipped,9,11.735231145102068,0.0625,7.66768479347229
58,PLAN(noscale)-clipped,9,11.582869197646502,0.0625,7.743402719497681
59,PLAN(noscale)-unclipped,9,10.87686789302233,0.0625,7.743402719497681
60,PLAN(oracle)-clipped,10,8.176512698346365,0.0625,7.620551824569702
61,PLAN(oracle)-unclipped,10,8.024397140866006,0.0625,7.620551824569702
62,PLAN(paper)-clipped,10,10.806692128398005,0.0625,7.71803617477417
63,PLAN(paper)-unclipped,10,10.121556545045538,0.0625,7.71803617477417
64,PLAN(noscale)-clipped,10,12.300458969912093,0.0625,7.788928270339966
65,PLAN(noscale)-unclipped,10,11.854895799093818,0.0625,7.788928270339966
66,PLAN(oracle)-clipped,11,6.901646709281325,0.0625,7.791774272918701
67,PLAN(oracle)-unclipped,11,6.392326668938508,0.0625,7.791774272918701
68,PLAN(paper)-clipped,11,10.618580884922165,0.0625,7.720015048980713
69,PLAN(paper)-unclipped,11,9.828404880362386,0.0625,7.720015048980713
70,PLAN(noscale)-clipped,11,11.177295748432599,0.0625,7.612306356430054
71,PLAN(noscale)-unclipped,11,10.255284278851535,0.0625,7.612306356430054
72,PLAN(oracle)-clipped,12,6.6021585309061,0.0625,7.538101673126221
