,label,run,error,n,d,rho,ratio,time
0,Empirical mean (non-private),0,0.15708496093750002,4096,256,0.0625,0.0,0.0
1,"PLAN(oracle), unclipped",0,0.32656967811794146,4096,256,0.0625,0.0,0.024518728256225586
2,"PLAN(oracle), clipped",0,0.32660948980247495,4096,256,0.0625,0.0,-0.024518728256225586
3,"PLAN(paper), unclipped",0,0.3564010091086687,4096,256,0.0625,0.0,0.02146291732788086
4,"PLAN(paper), clipped",0,0.3549292780353597,4096,256,0.0625,0.0,-0.02146291732788086
5,"PLAN(noscale), unclipped",0,0.3752375273732065,4096,256,0.0625,0.0,0.021313190460205078
6,"PLAN(noscale), clipped",0,0.3737098371939141,4096,256,0.0625,0.0,-0.021313190460205078
7,"instance optimal, unclipped",0,0.3701773592476484,4096,256,0.0625,0.0,0.29004788398742676
8,"instance optimal, clipped",0,0.37464017094636715,4096,256,0.0625,0.0,0.29004788398742676
9,Empirical mean (non-private),0,0.30660156250000004,4096,256,0.0625,0.25,0.0
10,"PLAN(oracle), unclipped",0,0.7286804129535386,4096,256,0.0625,0.25,0.22284460067749023
11,"PLAN(oracle), clipped",0,0.751144182877435,4096,256,0.0625,0.25,-0.22284460067749023
12,"PLAN(paper), unclipped",0,0.7652550541347598,4096,256,0.0625,0.25,0.1911485195159912
13,"PLAN(paper), clipped",0,0.7858659940391581,4096,256,0.0625,0.25,-0.1911485195159912
14,"PLAN(noscale), unclipped",0,0.9693465514831052,4096,256,0.0625,0.25,0.16290616989135742
15,"PLAN(noscale), clipped",0,0.9766752880270944,4096,256,0.0625,0.25,-0.16290616989135742
16,"instance optimal, unclipped",0,0.9465511116971886,4096,256,0.0625,0.25,0.2827889919281006
17,"instance optimal, clipped",0,0.9462634346853025,4096,256,0.0625,0.25,0.2827889919281006
18,Empirical mean (non-private),0,0.4891162109375,4096,256,0.0625,0.5,0.0
19,"PLAN(oracle), unclipped",0,1.235225865263917,4096,256,0.0625,0.5,0.4181637763977051
20,"PLAN(oracle), clipped",0,1.243457792880911,4096,256,0.0625,0.5,-0.4181637763977051
21,"PLAN(paper), unclipped",0,1.2918395694955365,4096,256,0.0625,0.5,0.37143397331237793
22,"PLAN(paper), clipped",0,1.2860983992471198,4096,256,0.0625,0.5,-0.37143397331237793
23,"PLAN(noscale), unclipped",0,1.3437269324798424,4096,256,0.0625,0.5,0.3148181438446045
24,"PLAN(noscale), clipped",0,1.3463327311503797,4096,256,0.0625,0.5,-0.3148181438446045
25,"instance optimal, unclipped",0,1.4300075176063298,4096,256,0.0625,0.5,0.266556978225708
26,"instance optimal, clipped",0,1.4286460285160358,4096,256,0.0625,0.5,0.266556978225708
27,Empirical mean (non-private),0,0.6850341796875,4096,256,0.0625,0.75,0.0
28,"PLAN(oracle), unclipped",0,1.5298343296174415,4096,256,0.0625,0.75,0.7475607395172119
